demo_id,region_id,year,population,urban_population_pct,population_density,median_age,literacy_rate,working_age_population_pct
D000001,RG0001,2019,53366891,54.8,1159,30.1,87.5,64.4
D000002,RG0001,2020,54282645,54.2,1156,30.2,88.0,64.5
D000003,RG0001,2021,54473033,54.5,1119,30.2,88.1,64.4
D000004,RG0001,2022,54900102,54.9,1147,30.2,88.0,64.1
D000005,RG0001,2023,56434763,56.9,1172,30.1,88.3,64.2
D000006,RG0001,2024,57397955,57.8,1178,30.2,88.5,64.4
D000007,RG0001,2025,57971450,58.1,1189,30.3,88.6,64.1
D000008,RG0001,2026,58788906,58.2,1230,30.3,89.0,63.9
D000009,RG0001,2027,59069396,58.4,1253,30.4,89.3,64.1
D000010,RG0001,2028,60091159,59.1,1220,30.7,89.2,63.9
D000011,RG0001,2029,61693710,61.0,1239,30.6,89.5,63.8
D000012,RG0001,2030,61956443,60.2,1248,30.8,89.8,63.8
D000013,RG0002,2019,1612220,45.9,811,31.4,79.7,62.5
D000014,RG0002,2020,1617506,46.7,837,31.3,80.2,62.7
D000015,RG0002,2021,1643677,47.3,850,31.6,80.4,62.5
D000016,RG0002,2022,1678608,48.3,855,31.4,80.2,62.3
D000017,RG0002,2023,1694613,49.0,862,31.9,80.7,62.3
D000018,RG0002,2024,1707861,48.2,881,31.9,80.7,62.5
D000019,RG0002,2025,1741664,50.1,888,31.9,80.8,62.5
D000020,RG0002,2026,1761639,50.5,922,31.8,81.3,62.4
D000021,RG0002,2027,1771284,51.8,891,32.0,81.6,62.1
D000022,RG0002,2028,1788404,50.8,897,32.3,81.7,62.2
D000023,RG0002,2029,1815908,52.1,900,32.3,81.5,62.0
D000024,RG0002,2030,1842658,52.0,928,32.0,81.7,62.2
D000025,RG0003,2019,34888226,42.0,926,30.7,82.8,62.9
D000026,RG0003,2020,35180297,44.0,941,30.8,82.7,62.9
D000027,RG0003,2021,35800720,43.2,909,30.7,82.9,63.0
D000028,RG0003,2022,36358051,45.3,943,31.1,83.0,62.9
D000029,RG0003,2023,36736095,44.3,932,31.0,83.4,62.9
D000030,RG0003,2024,37383575,45.9,948,30.9,83.4,62.8
D000031,RG0003,2025,38080355,47.0,989,31.1,83.5,62.7
D000032,RG0003,2026,38571862,47.3,973,31.4,83.6,62.6
D000033,RG0003,2027,39155633,48.3,1011,31.3,83.8,62.8
D000034,RG0003,2028,39724723,47.6,1033,31.4,84.2,62.5
D000035,RG0003,2029,40246976,48.5,994,31.7,84.3,62.6
D000036,RG0003,2030,40731980,49.8,1016,31.4,84.5,62.5
D000037,RG0004,2019,127686162,45.0,799,30.4,79.4,63.6
D000038,RG0004,2020,130637440,45.8,844,30.5,79.7,63.4
D000039,RG0004,2021,131576734,46.1,825,30.4,79.9,63.2
D000040,RG0004,2022,131693079,48.1,842,30.8,80.0,63.4
D000041,RG0004,2023,135094453,49.0,870,30.7,80.3,63.4
D000042,RG0004,2024,136989514,49.1,839,30.7,80.6,63.3
D000043,RG0004,2025,138529735,49.9,894,30.8,80.7,63.0
D000044,RG0004,2026,138988950,50.7,908,30.9,81.1,62.9
D000045,RG0004,2027,140851978,50.6,878,30.7,80.9,62.9
D000046,RG0004,2028,143876579,50.3,914,31.1,81.1,62.9
D000047,RG0004,2029,144947713,52.3,930,31.0,81.6,62.9
D000048,RG0004,2030,146978535,51.9,900,31.3,81.5,63.0
D000049,RG0005,2019,30021604,55.5,944,29.8,81.8,63.8
D000050,RG0005,2020,30388256,57.6,972,29.7,82.3,63.8
D000051,RG0005,2021,31073124,58.0,945,29.9,82.6,63.7
D000052,RG0005,2022,31467845,58.6,982,29.9,82.4,63.6
D000053,RG0005,2023,31631702,58.4,974,30.0,82.5,63.4
D000054,RG0005,2024,31858968,58.9,1021,30.2,82.9,63.3
D000055,RG0005,2025,32331897,59.1,1016,30.2,83.1,63.4
D000056,RG0005,2026,32889863,60.9,1024,30.0,83.1,63.4
