charger_id,region_id,city_name,year,quarter,charger_count,fast_charger_count,slow_charger_count,dc_fast_count,average_capacity_kw,operational_status,charger_per_1000_ev,infrastructure_gap_score,charging_readiness_score
C0000001,RG0001,Amaravati,2019,1,3,0,3,0,30.1,Operational,3.89,45.1,55.0
C0000002,RG0001,Amaravati,2019,2,5,1,4,0,37.0,Operational,3.24,49.5,51.4
C0000003,RG0001,Amaravati,2019,3,8,1,7,0,36.7,Operational,3.29,49.1,51.8
C0000004,RG0001,Amaravati,2019,4,11,2,9,1,34.2,Operational,3.19,51.0,49.8
C0000005,RG0001,Amaravati,2020,1,16,2,14,1,35.9,Operational,3.59,46.0,54.7
C0000006,RG0001,Amaravati,2020,2,19,3,16,1,36.6,Operational,3.42,47.5,53.3
C0000007,RG0001,Amaravati,2020,3,23,3,20,1,39.1,Operational,3.45,46.3,54.7
C0000008,RG0001,Amaravati,2020,4,28,4,24,2,32.9,Operational,3.46,48.4,52.2
C0000009,RG0001,Amaravati,2021,1,34,5,29,2,38.9,Operational,3.72,43.3,57.5
C0000010,RG0001,Amaravati,2021,2,38,6,32,3,36.7,Operational,3.7,44.3,56.4
C0000011,RG0001,Amaravati,2021,3,43,7,36,3,36.0,Operational,3.73,44.2,56.4
C0000012,RG0001,Amaravati,2021,4,48,8,40,4,36.4,Operational,3.68,44.6,56.1
C0000013,RG0001,Amaravati,2022,1,56,10,46,4,39.6,Operational,3.89,41.0,59.8
C0000014,RG0001,Amaravati,2022,2,62,11,51,5,37.6,Operational,3.93,41.3,59.3
C0000015,RG0001,Amaravati,2022,3,68,12,56,5,42.7,Operational,3.92,39.6,61.4
C0000016,RG0001,Amaravati,2022,4,75,13,62,6,39.2,Operational,3.91,41.0,59.8
C0000017,RG0001,Amaravati,2023,1,87,16,71,7,41.9,Operational,4.14,37.4,63.5
C0000018,RG0001,Amaravati,2023,2,95,17,78,8,45.4,Operational,4.17,35.8,65.3
C0000019,RG0001,Amaravati,2023,3,103,19,84,9,39.5,Operational,4.15,38.1,62.6
C0000020,RG0001,Amaravati,2023,4,113,20,93,9,40.8,Operational,4.16,37.5,63.2
C0000021,RG0001,Amaravati,2024,1,128,24,104,11,44.8,Operational,4.35,33.9,67.1
C0000022,RG0001,Amaravati,2024,2,138,26,112,12,49.8,Operational,4.36,32.0,69.3
C0000023,RG0001,Amaravati,2024,3,149,28,121,13,42.9,Operational,4.37,34.4,66.5
C0000024,RG0001,Amaravati,2024,4,163,31,132,14,43.8,Operational,4.38,33.9,66.9
C0000025,RG0001,Amaravati,2025,1,184,37,147,17,48.5,Operational,4.58,29.9,71.2
C0000026,RG0001,Amaravati,2025,2,198,40,158,18,46.1,Operational,4.58,30.8,70.2
C0000027,RG0001,Amaravati,2025,3,214,43,171,19,49.9,Operational,4.59,29.3,71.9
C0000028,RG0001,Amaravati,2025,4,232,46,186,21,46.3,Operational,4.59,30.6,70.3
C0000029,RG0001,Amaravati,2026,1,260,55,205,25,49.7,Operational,4.8,27.0,74.1
C0000030,RG0001,Amaravati,2026,2,279,59,220,27,53.1,Operational,4.81,25.7,75.7
C0000031,RG0001,Amaravati,2026,3,299,63,236,28,52.1,Operational,4.81,26.0,75.2
C0000032,RG0001,Amaravati,2026,4,322,68,254,31,50.0,Operational,4.8,26.8,74.2
C0000033,RG0001,Amaravati,2027,1,358,79,279,36,55.4,Operational,5.03,22.3,79.1
C0000034,RG0001,Amaravati,2027,2,380,84,296,38,49.8,Operational,5.03,24.3,76.7
C0000035,RG0001,Amaravati,2027,3,403,89,314,40,52.0,Operational,5.03,23.5,77.6
C0000036,RG0001,Amaravati,2027,4,431,95,336,43,51.3,Operational,5.03,23.7,77.3
C0000037,RG0001,Amaravati,2028,1,480,110,370,50,54.1,Operational,5.25,20.2,81.0
C0000038,RG0001,Amaravati,2028,2,512,118,394,53,56.6,Operational,5.24,19.4,81.9
C0000039,RG0001,Amaravati,2028,3,547,126,421,57,51.6,Operational,5.25,21.1,79.9
C0000040,RG0001,Amaravati,2028,4,586,135,451,61,55.6,Operational,5.25,19.7,81.6
C0000041,RG0001,Amaravati,2029,1,651,156,495,70,56.0,Operational,5.46,17.1,84.1
C0000042,RG0001,Amaravati,2029,2,692,166,526,75,58.6,Operational,5.47,16.1,85.3
C0000043,RG0001,Amaravati,2029,3,736,177,559,80,57.5,Operational,5.46,16.5,84.8
C0000044,RG0001,Amaravati,2029,4,789,189,600,85,56.1,Operational,5.47,16.9,84.3
C0000045,RG0001,Amaravati,2030,1,865,216,649,97,63.0,Operational,5.69,12.0,89.6
C0000046,RG0001,Amaravati,2030,2,916,229,687,103,55.9,Operational,5.68,14.5,86.5
C0000047,RG0001,Amaravati,2030,3,968,242,726,109,57.9,Operational,5.68,13.8,87.4
C0000048,RG0001,Amaravati,2030,4,1033,258,775,116,62.3,Operational,5.68,12.3,89.2
C0000049,RG0002,Itanagar,2019,1,1,0,1,0,33.2,Operational,2.34,60.3,40.8
C0000050,RG0002,Itanagar,2019,2,2,0,2,0,27.5,Operational,2.36,62.1,38.6
C0000051,RG0002,Itanagar,2019,3,3,0,3,0,30.6,Operational,2.28,61.9,39.2
C0000052,RG0002,Itanagar,2019,4,4,1,3,0,28.5,Operational,2.12,64.3,36.7
C0000053,RG0002,Itanagar,2020,1,6,1,5,0,33.7,Operational,2.45,58.7,42.4
C0000054,RG0002,Itanagar,2020,2,7,1,6,0,35.2,Operational,2.3,59.8,41.5
C0000055,RG0002,Itanagar,2020,3,9,1,8,0,35.7,Operational,2.45,58.0,43.2
C0000056,RG0002,Itanagar,2020,4,10,2,8,1,34.8,Operational,2.26,60.3,41.0
C0000057,RG0002,Itanagar,2021,1,13,2,11,1,35.3,Operational,2.59,56.5,44.7
C0000058,RG0002,Itanagar,2021,2,14,2,12,1,32.0,Operational,2.49,58.7,42.3
C0000059,RG0002,Itanagar,2021,3,16,3,13,1,32.8,Operational,2.56,57.6,43.4
C0000060,RG0002,Itanagar,2021,4,18,3,15,1,32.9,Operational,2.55,57.7,43.3
C0000061,RG0002,Itanagar,2022,1,22,4,18,2,39.9,Operational,2.82,52.2,49.2
C0000062,RG0002,Itanagar,2022,2,24,4,20,2,33.6,Operational,2.78,54.8,46.2
C0000063,RG0002,Itanagar,2022,3,26,4,22,2,35.8,Operational,2.74,54.5,46.7
C0000064,RG0002,Itanagar,2022,4,29,5,24,2,37.7,Operational,2.76,53.6,47.7
C0000065,RG0002,Itanagar,2023,1,34,6,28,3,41.3,Operational,2.98,49.8,51.6
C0000066,RG0002,Itanagar,2023,2,37,7,30,3,42.5,Operational,2.99,49.2,52.2
C0000067,RG0002,Itanagar,2023,3,40,7,33,3,38.5,Operational,2.99,50.6,50.6
C0000068,RG0002,Itanagar,2023,4,44,8,36,4,37.0,Operational,3.0,51.0,50.0
C0000069,RG0002,Itanagar,2024,1,51,10,41,4,41.9,Operational,3.23,46.7,54.6
C0000070,RG0002,Itanagar,2024,2,54,10,44,4,43.1,Operational,3.18,46.8,54.7
C0000071,RG0002,Itanagar,2024,3,59,11,48,5,41.1,Operational,3.24,46.8,54.4
C0000072,RG0002,Itanagar,2024,4,63,12,51,5,38.0,Operational,3.21,48.2,52.8
C0000073,RG0002,Itanagar,2025,1,72,14,58,6,47.4,Operational,3.44,42.3,59.3
C0000074,RG0002,Itanagar,2025,2,77,15,62,7,39.9,Operational,3.44,44.9,56.2
C0000075,RG0002,Itanagar,2025,3,82,16,66,7,41.0,Operational,3.43,44.6,56.5
