competitor_id,region_id,brand_name,showroom_count,market_share_pct,popular_models,service_centers
COMP00001,RG0001,Tata Motors,13,16.77,"Nexon EV, Tiago EV, Punch EV",24
COMP00002,RG0001,MG Motor,10,13.27,"ZS EV, Comet EV",15
COMP00003,RG0001,Mahindra Electric,8,10.31,"XUV400, BE 6",15
COMP00004,RG0001,BYD,5,6.28,"Atto 3, Seal",7
COMP00005,RG0001,Hyundai,12,16.63,"Kona Electric, Ioniq 5",24
COMP00006,RG0001,Ola Electric,5,7.06,"S1 Pro, S1 Air",8
COMP00007,RG0001,Ather Energy,5,6.13,"450X, Rizta",7
COMP00008,RG0001,TVS,7,9.72,"iQube, X",11
COMP00009,RG0001,Bajaj Auto,10,13.83,"Chetak, GoGo",15
COMP00010,RG0002,Tata Motors,8,15.62,"Nexon EV, Tiago EV, Punch EV",14
COMP00011,RG0002,MG Motor,12,23.19,"ZS EV, Comet EV",16
COMP00012,RG0002,Mahindra Electric,4,8.36,"XUV400, BE 6",8
COMP00013,RG0002,BYD,6,11.87,"Atto 3, Seal",8
COMP00014,RG0002,Hyundai,7,13.08,"Kona Electric, Ioniq 5",12
COMP00015,RG0002,Ola Electric,3,6.08,"S1 Pro, S1 Air",4
COMP00016,RG0002,Ather Energy,5,10.05,"450X, Rizta",7
COMP00017,RG0002,TVS,4,7.15,"iQube, X",5
COMP00018,RG0002,Bajaj Auto,2,4.6,"Chetak, GoGo",3
COMP00019,RG0003,Tata Motors,17,28.48,"Nexon EV, Tiago EV, Punch EV",29
COMP00020,RG0003,MG Motor,2,3.41,"ZS EV, Comet EV",3
COMP00021,RG0003,Mahindra Electric,4,7.39,"XUV400, BE 6",8
COMP00022,RG0003,BYD,5,9.07,"Atto 3, Seal",7
COMP00023,RG0003,Hyundai,11,19.23,"Kona Electric, Ioniq 5",20
COMP00024,RG0003,Ola Electric,10,16.47,"S1 Pro, S1 Air",13
COMP00025,RG0003,Ather Energy,4,7.61,"450X, Rizta",6
COMP00026,RG0003,TVS,1,1.43,"iQube, X",1
COMP00027,RG0003,Bajaj Auto,4,6.91,"Chetak, GoGo",6
COMP00028,RG0004,Tata Motors,11,20.5,"Nexon EV, Tiago EV, Punch EV",18
COMP00029,RG0004,MG Motor,3,6.07,"ZS EV, Comet EV",4
COMP00030,RG0004,Mahindra Electric,2,3.18,"XUV400, BE 6",3
COMP00031,RG0004,BYD,6,12.07,"Atto 3, Seal",8
COMP00032,RG0004,Hyundai,12,22.58,"Kona Electric, Ioniq 5",20
COMP00033,RG0004,Ola Electric,5,9.91,"S1 Pro, S1 Air",7
COMP00034,RG0004,Ather Energy,9,17.33,"450X, Rizta",12
COMP00035,RG0004,TVS,1,2.57,"iQube, X",2
COMP00036,RG0004,Bajaj Auto,3,5.79,"Chetak, GoGo",4
COMP00037,RG0005,Tata Motors,13,20.17,"Nexon EV, Tiago EV, Punch EV",22
COMP00038,RG0005,MG Motor,4,7.21,"ZS EV, Comet EV",6
COMP00039,RG0005,Mahindra Electric,12,18.9,"XUV400, BE 6",21
COMP00040,RG0005,BYD,7,11.9,"Atto 3, Seal",10
COMP00041,RG0005,Hyundai,5,7.4,"Kona Electric, Ioniq 5",8
COMP00042,RG0005,Ola Electric,2,2.88,"S1 Pro, S1 Air",2
COMP00043,RG0005,Ather Energy,2,3.11,"450X, Rizta",3
COMP00044,RG0005,TVS,7,11.88,"iQube, X",10
COMP00045,RG0005,Bajaj Auto,10,16.55,"Chetak, GoGo",14
COMP00046,RG0006,Tata Motors,16,21.26,"Nexon EV, Tiago EV, Punch EV",29
COMP00047,RG0006,MG Motor,2,2.79,"ZS EV, Comet EV",3
COMP00048,RG0006,Mahindra Electric,4,6.02,"XUV400, BE 6",8
COMP00049,RG0006,BYD,12,16.92,"Atto 3, Seal",18
COMP00050,RG0006,Hyundai,8,10.96,"Kona Electric, Ioniq 5",15
COMP00051,RG0006,Ola Electric,7,9.64,"S1 Pro, S1 Air",10
COMP00052,RG0006,Ather Energy,2,2.16,"450X, Rizta",2
COMP00053,RG0006,TVS,3,3.94,"iQube, X",4
COMP00054,RG0006,Bajaj Auto,19,26.31,"Chetak, GoGo",28
COMP00055,RG0007,Tata Motors,16,19.22,"Nexon EV, Tiago EV, Punch EV",32
COMP00056,RG0007,MG Motor,4,4.74,"ZS EV, Comet EV",6
COMP00057,RG0007,Mahindra Electric,9,10.9,"XUV400, BE 6",18
COMP00058,RG0007,BYD,6,7.57,"Atto 3, Seal",10
COMP00059,RG0007,Hyundai,18,20.62,"Kona Electric, Ioniq 5",34
COMP00060,RG0007,Ola Electric,2,2.27,"S1 Pro, S1 Air",3
COMP00061,RG0007,Ather Energy,4,4.42,"450X, Rizta",6
COMP00062,RG0007,TVS,8,9.99,"iQube, X",13
COMP00063,RG0007,Bajaj Auto,17,20.27,"Chetak, GoGo",26
COMP00064,RG0008,Tata Motors,10,12.92,"Nexon EV, Tiago EV, Punch EV",19
COMP00065,RG0008,MG Motor,6,7.7,"ZS EV, Comet EV",9
COMP00066,RG0008,Mahindra Electric,15,18.99,"XUV400, BE 6",28
COMP00067,RG0008,BYD,1,1.75,"Atto 3, Seal",2
COMP00068,RG0008,Hyundai,10,13.04,"Kona Electric, Ioniq 5",19
COMP00069,RG0008,Ola Electric,26,32.75,"S1 Pro, S1 Air",38
COMP00070,RG0008,Ather Energy,6,7.67,"450X, Rizta",9
COMP00071,RG0008,TVS,1,0.33,"iQube, X",1
COMP00072,RG0008,Bajaj Auto,4,4.85,"Chetak, GoGo",6
COMP00073,RG0009,Tata Motors,7,11.27,"Nexon EV, Tiago EV, Punch EV",12
COMP00074,RG0009,MG Motor,12,19.51,"ZS EV, Comet EV",17
COMP00075,RG0009,Mahindra Electric,6,9.85,"XUV400, BE 6",11
COMP00076,RG0009,BYD,1,0.9,"Atto 3, Seal",1
COMP00077,RG0009,Hyundai,5,8.61,"Kona Electric, Ioniq 5",9
COMP00078,RG0009,Ola Electric,6,9.54,"S1 Pro, S1 Air",8
COMP00079,RG0009,Ather Energy,2,2.69,"450X, Rizta",2
COMP00080,RG0009,TVS,2,2.52,"iQube, X",2
COMP00081,RG0009,Bajaj Auto,21,35.11,"Chetak, GoGo",30
COMP00082,RG0010,Tata Motors,13,22.96,"Nexon EV, Tiago EV, Punch EV",23
