econ_id,region_id,year,gdp_per_capita,median_household_income,petrol_price,electricity_price,employment_rate,vehicle_ownership_rate,affordability_index,energy_cost_advantage
E000001,RG0001,2019,455141,716297,74.84,6.11,93.7,0.59,39.3,12.25
E000002,RG0001,2020,501875,752980,70.26,5.8,93.2,0.6,37.5,12.11
E000003,RG0001,2021,534207,804721,87.15,6.65,94.0,0.62,37.7,13.11
E000004,RG0001,2022,567862,860989,98.32,6.67,94.2,0.62,37.9,14.74
E000005,RG0001,2023,608347,947851,99.17,7.24,93.5,0.65,39.0,13.7
E000006,RG0001,2024,640131,981710,105.78,7.58,94.5,0.67,38.3,13.96
E000007,RG0001,2025,675227,1120210,107.38,6.82,94.4,0.69,41.5,15.74
E000008,RG0001,2026,732502,1203354,107.2,7.89,94.1,0.69,41.1,13.59
E000009,RG0001,2027,784740,1244339,108.2,7.92,94.3,0.72,39.6,13.66
E000010,RG0001,2028,847808,1348625,110.92,7.3,94.8,0.75,39.8,15.19
E000011,RG0001,2029,885201,1415870,115.38,7.57,94.3,0.74,40.0,15.24
E000012,RG0001,2030,971417,1605561,118.8,8.85,95.1,0.77,41.3,13.42
E000013,RG0002,2019,362801,538103,74.19,5.96,91.8,0.46,37.1,12.45
E000014,RG0002,2020,388078,578239,70.22,6.19,92.1,0.49,37.3,11.34
E000015,RG0002,2021,402356,615091,82.88,6.26,92.2,0.51,38.2,13.24
E000016,RG0002,2022,428849,677913,96.73,6.58,92.8,0.53,39.5,14.7
E000017,RG0002,2023,454717,695777,103.1,6.8,92.4,0.55,38.3,15.16
E000018,RG0002,2024,496072,754276,102.07,6.76,92.9,0.55,38.0,15.1
E000019,RG0002,2025,529989,828810,106.06,8.0,93.0,0.59,39.1,13.26
E000020,RG0002,2026,547495,886339,110.45,7.37,93.2,0.6,40.5,14.99
E000021,RG0002,2027,593513,924279,109.23,8.28,92.7,0.62,38.9,13.19
E000022,RG0002,2028,639493,980825,110.77,8.17,93.4,0.63,38.3,13.56
E000023,RG0002,2029,686879,1102740,115.42,8.24,92.7,0.66,40.1,14.01
E000024,RG0002,2030,717434,1139615,118.74,8.0,93.1,0.67,39.7,14.84
