env_id,region_id,year,aqi_score,co2_target_pct,pollution_level,carbon_intensity,green_transition_priority
ENV000001,RG0001,2019,33.8,60.0,Low,0.44,35.1
ENV000002,RG0001,2020,25.4,61.7,Low,0.44,34.1
ENV000003,RG0001,2021,36.1,63.4,Low,0.44,36.7
ENV000004,RG0001,2022,33.3,65.1,Low,0.44,36.8
ENV000005,RG0001,2023,36.3,66.8,Low,0.44,38.0
ENV000006,RG0001,2024,37.1,68.5,Low,0.44,38.7
ENV000007,RG0001,2025,33.1,70.2,Low,0.44,38.6
ENV000008,RG0001,2026,25.0,71.9,Low,0.44,37.7
ENV000009,RG0001,2027,33.9,73.6,Low,0.44,39.9
ENV000010,RG0001,2028,31.4,75.3,Low,0.44,40.0
ENV000011,RG0001,2029,25.0,77.0,Low,0.44,39.5
ENV000012,RG0001,2030,32.7,78.7,Low,0.44,41.5
ENV000013,RG0002,2019,80.0,37.5,Moderate,0.55,37.6
ENV000014,RG0002,2020,81.3,39.2,Moderate,0.55,38.5
ENV000015,RG0002,2021,79.7,40.9,Moderate,0.55,38.8
ENV000016,RG0002,2022,72.4,42.6,Moderate,0.55,38.0
ENV000017,RG0002,2023,72.7,44.3,Moderate,0.55,38.7
ENV000018,RG0002,2024,73.1,46.0,Moderate,0.55,39.3
ENV000019,RG0002,2025,72.6,47.7,Moderate,0.55,39.8
ENV000020,RG0002,2026,73.8,49.4,Moderate,0.55,40.7
ENV000021,RG0002,2027,72.9,51.1,Moderate,0.55,41.1
ENV000022,RG0002,2028,67.9,52.8,Moderate,0.55,40.8
ENV000023,RG0002,2029,72.6,54.5,Moderate,0.55,42.2
ENV000024,RG0002,2030,78.3,56.2,Moderate,0.55,43.9
ENV000025,RG0003,2019,76.7,38.4,Moderate,0.52,36.8
ENV000026,RG0003,2020,71.3,40.1,Moderate,0.52,36.4
ENV000027,RG0003,2021,78.1,41.8,Moderate,0.52,38.3
ENV000028,RG0003,2022,75.2,43.5,Moderate,0.52,38.3
ENV000029,RG0003,2023,73.7,45.2,Moderate,0.52,38.6
ENV000030,RG0003,2024,72.6,46.9,Moderate,0.52,39.0
ENV000031,RG0003,2025,67.1,48.6,Moderate,0.52,38.6
ENV000032,RG0003,2026,73.4,50.3,Moderate,0.52,40.4
ENV000033,RG0003,2027,63.0,52.0,Moderate,0.52,39.1
ENV000034,RG0003,2028,63.5,53.7,Moderate,0.52,39.8
ENV000035,RG0003,2029,62.2,55.4,Moderate,0.52,40.1
ENV000036,RG0003,2030,65.3,57.1,Moderate,0.52,41.3
ENV000037,RG0004,2019,115.5,35.9,High,0.65,45.4
ENV000038,RG0004,2020,109.4,37.6,High,0.65,44.8
ENV000039,RG0004,2021,113.3,39.3,High,0.65,46.2
ENV000040,RG0004,2022,108.3,41.0,High,0.65,45.8
ENV000041,RG0004,2023,103.5,42.7,High,0.65,45.5
ENV000042,RG0004,2024,113.0,44.4,High,0.65,47.9
ENV000043,RG0004,2025,105.1,46.1,High,0.65,47.0
ENV000044,RG0004,2026,109.8,47.8,High,0.65,48.5
ENV000045,RG0004,2027,108.1,49.5,High,0.65,48.8
ENV000046,RG0004,2028,105.5,51.2,High,0.65,48.9
ENV000047,RG0004,2029,110.6,52.9,High,0.65,50.5
ENV000048,RG0004,2030,105.6,54.6,High,0.65,50.1
ENV000049,RG0005,2019,110.3,37.8,High,0.61,44.4
ENV000050,RG0005,2020,100.1,39.5,High,0.61,43.1
ENV000051,RG0005,2021,96.8,41.2,Moderate,0.61,43.1
ENV000052,RG0005,2022,106.1,42.9,High,0.61,45.4
ENV000053,RG0005,2023,102.3,44.6,High,0.61,45.3
ENV000054,RG0005,2024,93.0,46.3,Moderate,0.61,44.2
ENV000055,RG0005,2025,102.7,48.0,High,0.61,46.6
ENV000056,RG0005,2026,98.1,49.7,Moderate,0.61,46.3
ENV000057,RG0005,2027,91.7,51.4,Moderate,0.61,45.7
ENV000058,RG0005,2028,98.5,53.1,Moderate,0.61,47.6
ENV000059,RG0005,2029,94.8,54.8,Moderate,0.61,47.5
ENV000060,RG0005,2030,100.7,56.5,High,0.61,49.2
ENV000061,RG0006,2019,29.3,57.6,Low,0.46,33.8
ENV000062,RG0006,2020,33.8,59.3,Low,0.46,35.2
ENV000063,RG0006,2021,33.4,61.0,Low,0.46,35.7
ENV000064,RG0006,2022,32.1,62.7,Low,0.46,36.1
ENV000065,RG0006,2023,32.9,64.4,Low,0.46,36.8
ENV000066,RG0006,2024,37.8,66.1,Low,0.46,38.3
ENV000067,RG0006,2025,33.5,67.8,Low,0.46,38.1
