sales_id,region_id,year,quarter,ev_sales,ev_registrations,total_vehicle_registrations,ev_penetration_pct,yoy_growth_pct,cagr_3yr,ev_market_maturity,ev_growth_segment,ev_adoption_stage
S0000001,RG0001,2019,1,772,772,58463,1.32,0.0,0.0,Early,Low,Early Adoption
S0000002,RG0001,2019,2,771,1543,110175,1.4,0.0,0.0,Early,Low,Early Adoption
S0000003,RG0001,2019,3,890,2433,164336,1.48,0.0,0.0,Early,Low,Early Adoption
S0000004,RG0001,2019,4,1017,3450,221083,1.56,0.0,0.0,Emerging,Low,Early Adoption
S0000005,RG0001,2020,1,1012,4462,226440,1.97,31.09,0.0,Emerging,High,Early Adoption
S0000006,RG0001,2020,2,1094,5556,270958,2.05,41.89,0.0,Emerging,High,Early Adoption
S0000007,RG0001,2020,3,1115,6671,313119,2.13,25.28,0.0,Emerging,High,Early Adoption
S0000008,RG0001,2020,4,1411,8082,365619,2.21,38.74,0.0,Emerging,High,Early Adoption
S0000009,RG0001,2021,1,1057,9139,348750,2.62,4.45,0.0,Emerging,Low,Early Adoption
S0000010,RG0001,2021,2,1125,10264,380078,2.7,2.83,0.0,Emerging,Low,Early Adoption
S0000011,RG0001,2021,3,1270,11534,414817,2.78,13.9,0.0,Emerging,Moderate,Early Adoption
S0000012,RG0001,2021,4,1501,13035,455690,2.86,6.38,0.0,Emerging,Low,Early Adoption
S0000013,RG0001,2022,1,1350,14385,439841,3.27,27.72,20.48,Emerging,High,Early Adoption
S0000014,RG0001,2022,2,1386,15771,470706,3.35,23.2,21.59,Emerging,Moderate,Early Adoption
S0000015,RG0001,2022,3,1561,17332,505232,3.43,22.91,20.6,Emerging,Moderate,Early Adoption
S0000016,RG0001,2022,4,1833,19165,545934,3.51,22.12,21.7,Emerging,Moderate,Growth
S0000017,RG0001,2023,1,1829,20994,535493,3.92,35.48,21.81,Emerging,High,Growth
S0000018,RG0001,2023,2,1807,22801,569954,4.0,30.38,18.21,Scaling,High,Growth
S0000019,RG0001,2023,3,2033,24834,608602,4.08,30.24,22.17,Scaling,High,Growth
